Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,100n,
"C10, C11, C14",0805,3,10n,
"C12, C8, C9",0805,3,1uf,
C13,0805,1,3.9nf,
C15,0805,1,1u,
"C3, C7",CP_Elec_6.3x5.4,2,22u,
"C5, C6",0805,2,220n,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,pwr_in,
J2,PinSocket_1x10_P2.54mm_Vertical,1,I/O,
R1,0805,1,49.9k,
R10,0805,1,267k,
"R11, R4",0805,2,10k,
R12,0805,1,267,
R13,0805,1,22.1k,
"R14, R15",0805,2,499k,
"R2, R3",0805,2,680,
R5,0805,1,20k,
R6,0805,1,15k,
R7,0805,1,100k,
R8,0805,1,2K,
R9,0805,1,4.3k,
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,5k,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
U1,SOT-23,1,LM4040DBZ-2.5,
U2,TO-220-3_Vertical,1,LM7805_TO220,
U3,SOP-16_3.9x9.9mm_P1.27mm,1,SSI2131,
